Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination
1,FRA,7,R,R,1,1,1,0
1,GER,9,R,C,1,1,2,0
1,FRA,6,R,L,1,1,3,0
1,GER,2,R,C,1,1,4,0
1,FRA,9,R,L,1,1,5,0
1,GER,4,R,L,1,0,6,0
1,FRA,8,L,L,1,0,7,0
1,GER,3,R,R,1,1,8,0
1,FRA,9,R,L,1,1,9,0
1,GER,9,R,C,1,1,10,1
1,FRA,7,R,L,1,0,11,0
1,GER,9,R,C,1,1,12,1
2,BRA,4,R,L,1,0,1,0
2,FRA,2,R,R,1,1,2,0
2,BRA,6,R,R,1,1,3,0
2,FRA,6,R,R,1,1,4,0
2,BRA,8,R,L,1,1,5,0
2,FRA,9,L,R,1,1,6,0
2,BRA,4,L,R,1,1,7,0
2,FRA,1,R,R,0,0,8,0
2,BRA,7,R,L,0,0,9,0
2,FRA,7,R,R,1,1,10,1
3,GER,1,L,R,1,1,1,0
3,MEX,6,L,L,1,1,2,0
3,GER,8,L,L,1,1,3,0
3,MEX,8,R,L,1,0,4,0
3,GER,7,R,L,1,1,5,0
3,MEX,7,R,L,1,0,6,0
3,GER,4,R,L,1,1,7,1
3,MEX,,,,,,8,
3,GER,,,,,,9,
3,MEX,,,,,,10,
4,SPA,7,R,R,1,1,1,0
4,BEL,9,R,L,1,1,2,0
4,SPA,7,R,L,1,0,3,0
4,BEL,4,R,R,1,1,4,0
4,SPA,1,R,L,1,1,5,0
4,BEL,7,R,R,1,1,6,0
4,SPA,1,R,L,1,1,7,0
4,BEL,5,L,R,1,1,8,0
4,SPA,1,R,R,1,1,9,1
4,BEL,5,R,L,1,1,10,1
5,ROM,3,L,R,1,1,1,0
5,IRE,2,L,R,1,1,2,0
5,ROM,9,R,R,1,1,3,0
5,IRE,9,R,L,1,1,4,0
5,ROM,4,L,L,1,1,5,0
5,IRE,7,L,R,1,1,6,0
5,ROM,1,R,L,1,1,7,0
5,IRE,8,L,L,1,1,8,0
5,ROM,7,R,L,1,0,9,0
5,IRE,6,R,l,1,1,10,1
6,ARG,6,R,L,1,1,1,0
6,YUG,1,R,R,0,0,2,0
6,ARG,1,R,R,1,1,3,0
6,YUG,4,R,R,1,1,4,0
6,ARG,7,L,L,1,0,5,0
6,YUG,7,L,R,1,1,6,0
6,ARG,3,R,L,0,0,7,0
6,YUG,7,R,L,1,0,8,0
6,ARG,7,R,C,1,1,9,0
6,YUG,6,R,R,1,0,10,1
7,ITA,8,R,R,1,1,1,0
7,ARG,5,R,L,1,1,2,0
7,ITA,4,R,L,1,1,3,0
7,ARG,8,R,R,1,1,4,0
7,ITA,4,L,L,1,1,5,0
7,ARG,9,R,L,1,1,6,0
7,ITA,6,R,R,1,0,7,0
7,ARG,7,L,R,1,1,8,0
7,ITA,9,L,R,1,0,9,1
7,ARG,,,,,,10,
8,ENG,7,R,R,1,1,1,0
8,GER,7,R,L,1,1,2,0
8,ENG,6,R,R,1,1,3,0
8,GER,4,R,L,1,1,4,0
8,ENG,1,R,L,1,0,5,0
8,GER,6,R,R,1,1,6,0
8,ENG,8,L,L,1,0,7,0
8,GER,6,R,R,1,1,8,0
8,ENG,1,L,L,0,0,9,1
8,GER,,,,,,10,0
9,MEX,2,L,R,0,0,1,0
9,BUL,4,L,l,1,0,2,0
9,MEX,9,R,R,1,0,3,0
9,BUL,2,R,R,1,1,4,0
9,MEX,7,R,L,1,0,5,0
9,BUL,1,R,L,1,1,6,0
9,MEX,9,R,C,1,1,7,0
9,BUL,3,R,R,1,1,8,1
9,MEX,,,,,,9,
9,BUL,,,,,,10,
10,SWE,2,R,R,0,0,1,0
10,RUM,9,R,R,1,1,2,0
10,SWE,6,R,R,1,1,3,0
10,RUM,9,L,L,1,1,4,0
10,SWE,7,R,C,1,1,5,0
10,RUM,4,R,R,1,1,6,0
10,SWE,7,R,R,1,1,7,0
10,RUM,5,R,R,1,0,8,0
10,SWE,2,R,L,1,1,9,0
10,RUM,4,R,R,1,1,10,1
10,SWE,9,R,L,1,1,11,0
10,RUM,9,R,R,1,0,12,1
11,ITA,2,R,R,0,0,1,0
11,BRA,4,R,L,1,0,2,0
11,ITA,4,R,R,1,1,3,0
11,BRA,4,R,C,1,1,4,0
11,ITA,5,L,L,1,1,5,0
11,BRA,9,L,L,1,1,6,0
11,ITA,6,R,R,1,0,7,0
