home_team,away_team,score_diff,result
Bournemouth,Aston Villa,-1,aw
Chelsea,Swansea,0,d
Everton,Watford,0,d
Leicester,Sunderland,2,hw
Man United,Tottenham,1,hw
Norwich,Crystal Palace,-2,aw
Arsenal,West Ham,-2,aw
Newcastle,Southampton,0,d
Stoke,Liverpool,-1,aw
West Brom,Man City,-3,aw
Aston Villa,Man United,-1,aw
Southampton,Everton,-3,aw
Sunderland,Norwich,-2,aw
Swansea,Newcastle,2,hw
Tottenham,Stoke,0,d
Watford,West Brom,0,d
West Ham,Leicester,-1,aw
Crystal Palace,Arsenal,-1,aw
Man City,Chelsea,3,hw
Liverpool,Bournemouth,1,hw
Crystal Palace,Aston Villa,1,hw
Leicester,Tottenham,0,d
Man United,Newcastle,0,d
Norwich,Stoke,0,d
Sunderland,Swansea,0,d
West Ham,Bournemouth,-1,aw
Everton,Man City,-2,aw
Watford,Southampton,0,d
West Brom,Chelsea,-1,aw
Arsenal,Liverpool,0,d
Aston Villa,Sunderland,0,d
Bournemouth,Leicester,0,d
Chelsea,Crystal Palace,-1,aw
Liverpool,West Ham,-3,aw
Man City,Watford,2,hw
Newcastle,Arsenal,-1,aw
Stoke,West Brom,-1,aw
Tottenham,Everton,0,d
Southampton,Norwich,3,hw
Swansea,Man United,1,hw
Arsenal,Stoke,2,hw
Crystal Palace,Man City,-1,aw
Everton,Chelsea,2,hw
Man United,Liverpool,2,hw
Norwich,Bournemouth,2,hw
Watford,Swansea,1,hw
West Brom,Southampton,0,d
Leicester,Aston Villa,1,hw
Sunderland,Tottenham,-1,aw
West Ham,Newcastle,2,hw
Aston Villa,West Brom,-1,aw
Bournemouth,Sunderland,2,hw
Chelsea,Arsenal,2,hw
Man City,West Ham,-1,aw
Newcastle,Watford,-1,aw
Stoke,Leicester,0,d
Swansea,Everton,0,d
Liverpool,Norwich,0,d
Southampton,Man United,-1,aw
Tottenham,Crystal Palace,1,hw
Leicester,Arsenal,-3,aw
Liverpool,Aston Villa,1,hw
Man United,Sunderland,3,hw
Newcastle,Chelsea,0,d
Southampton,Swansea,2,hw
Stoke,Bournemouth,1,hw
Tottenham,Man City,3,hw
West Ham,Norwich,0,d
Watford,Crystal Palace,-1,aw
West Brom,Everton,-1,aw
Aston Villa,Stoke,-1,aw
Bournemouth,Watford,0,d
Chelsea,Southampton,-2,aw
Crystal Palace,West Brom,2,hw
Man City,Newcastle,5,hw
Norwich,Leicester,-1,aw
Sunderland,West Ham,0,d
Arsenal,Man United,3,hw
Everton,Liverpool,0,d
Swansea,Tottenham,0,d
Chelsea,Aston Villa,2,hw
Crystal Palace,West Ham,-2,aw
Everton,Man United,-3,aw
Man City,Bournemouth,4,hw
Southampton,Leicester,0,d
Tottenham,Liverpool,0,d
Watford,Arsenal,-3,aw
West Brom,Sunderland,1,hw
Newcastle,Norwich,4,hw
Swansea,Stoke,-1,aw
Arsenal,Everton,1,hw
Aston Villa,Swansea,-1,aw
Leicester,Crystal Palace,1,hw
